Daily Data Between Two Dates,,,,,
EMBARRASS (MN),,,,,
USC00212576,,,,,
,,,,,
,,,,,
Date,PRCP,SNOW,SNWD,TMAX,TMIN
2015-06-09,0,0,0,70,40
2015-06-10,0,0,0,79,40
2015-06-11,0,0,0,68,46
2015-06-12,0,0,0,76,43
2015-06-13,0,0,0,77,44
2015-06-14,0,0,0,74,43
2015-06-15,T,M,M,78,44
2015-06-16,0,M,M,68,33
2015-06-17,0.02,0,0,68,35
2015-06-18,0,0,0,70,42
2015-06-19,0,M,M,67,33
2015-06-20,T,0,0,70,35
2015-06-21,0.52,0,0,66,50
2015-06-22,T,0,0,74,51
2015-06-23,0.22,0,0,61,45
2015-06-24,0.15,0,0,76,46
2015-06-25,0.33,0,0,76,50
2015-06-26,0,0,0,78,46
2015-06-27,0,0,0,81,45
2015-06-28,0.29,0,0,79,48
2015-06-29,0.16,0,0,72,52
2015-06-30,0.16,0,0,72,48
2015-07-01,0,0,0,72,42
2015-07-02,0,0,0,74,42
2015-07-03,0,0,0,74,50
2015-07-04,0,M,M,76,44
2015-07-05,0,0,0,80,45
2015-07-06,0.66,M,M,82,56
2015-07-07,0.05,M,M,64,45
2015-07-08,0,0,0,67,38
2015-07-09,0,0,0,66,39
2015-07-10,0,0,0,79,43
2015-07-11,0,0,0,83,43
2015-07-12,0,0,0,83,51
2015-07-13,1.48,0,0,76,51
2015-07-14,0.41,0,0,70,58
2015-07-15,0,0,0,75,50
2015-07-16,0.15,0,0,75,51
2015-07-17,T,M,M,76,58
2015-07-18,0,0,0,80,60
2015-07-19,0,0,0,82,56
2015-07-20,0.04,0,0,79,58
2015-07-21,T,0,0,70,44
2015-07-22,0,0,0,70,40
2015-07-23,0,M,M,79,42
2015-07-24,T,0,0,84,60
2015-07-25,0.06,0,0,78,50
2015-07-26,0,0,0,84,51
2015-07-27,0,0,M,88,53
2015-07-28,0,0,0,86,56
2015-07-29,T,0,0,80,60
2015-07-30,0,M,M,67,56
2015-07-31,0.14,M,M,75,53
2015-08-01,T,M,M,70,42
2015-08-02,0,M,M,78,42
2015-08-03,0.12,0,0,69,51
2015-08-04,0.14,0,0,61,44
2015-08-05,T,0,0,61,36
2015-08-06,0,0,0,74,36
2015-08-07,1.28,0,0,67,50
2015-08-08,0.05,0,0,68,58
2015-08-09,0,0,0,70,58
2015-08-10,T,0,0,73,50
2015-08-11,0.02,0,0,70,44
2015-08-12,0,0,0,76,45
2015-08-13,0.33,0,0,82,50
2015-08-14,0,0,0,85,56
2015-08-15,0,0,0,86,54
2015-08-16,0.07,M,M,86,55
2015-08-17,0.02,0,0,78,50
2015-08-18,0,0,0,70,37
2015-08-19,0,0,0,70,37
2015-08-20,0.15,0,0,59,47
2015-08-21,0.06,0,0,61,42
2015-08-22,0,0,0,72,43
2015-08-23,0.54,0,0,75,49
2015-08-24,0.21,0,0,55,43
2015-08-25,0.22,0,0,49,43
2015-08-26,0,0,0,56,33
2015-08-27,0,0,0,70,33
2015-08-28,0,M,M,70,36
2015-08-29,1.05,T,0,76,56
2015-08-30,T,0,0,69,57
2015-08-31,0,0,0,78,59
2015-09-01,0.02,0,0,79,58
2015-09-02,0,0,0,75,55
2015-09-03,1,M,0,72,55
2015-09-04,0,0,0,76,56
2015-09-05,0.81,M,M,80,59
2015-09-06,0.98,0,0,82,62
2015-09-07,0.21,M,M,81,62
2015-09-08,0.05,0,0,72,48
2015-09-09,0,0,0,69,40
2015-09-10,0,0,0,67,34
2015-09-11,T,M,M,67,34
2015-09-12,0,0,0,57,29
2015-09-13,0,0,0,65,29
2015-09-14,0,M,M,73,47
2015-09-15,0,M,M,73,54
2015-09-16,T,0,0,78,58
2015-09-17,T,0,0,74,62
2015-09-18,0.68,0,0,70,42
2015-09-19,0.04,0,0,60,34
2015-09-20,0,0,0,68,34
2015-09-21,0,0,0,68,42
2015-09-22,0,0,0,75,48
2015-09-23,0.04,0,0,57,45
2015-09-24,0.3,0,0,51,45
2015-09-25,0.28,0,0,58,49
2015-09-26,0,0,0,61,50
2015-09-27,0,0,0,70,49
2015-09-28,0.04,0,0,73,50
2015-09-29,0,0,0,67,24
2015-09-30,0,0,0,56,24
2015-10-01,0,0,0,60,23
2015-10-02,0,0,0,58,24
2015-10-03,0,0,0,55,24
2015-10-04,0,0,0,53,27
2015-10-05,T,0,0,55,33
2015-10-06,0,0,0,58,40
2015-10-07,0,0,0,M,M
2015-10-08,M,0,0,55,20
2015-10-09,0.03,0,0,47,30
2015-10-10,M,0,0,53,30
2015-10-11,0,0,0,65,39
2015-10-12,0,0,0,84,40
2015-10-13,0.15,0,0,48,35
2015-10-14,0,0,0,46,25
2015-10-15,M,M,M,59,25
2015-10-16,0,T,M,45,25
,,,,,
Sum:,20.44,T,,,
Count:,166,144,143,168,168
Average:,0.12,0,0,68.2,42.3
Median:,0,0,0,70,43
Low Value:,0,0,0,40,20
High Value:,1.48,T,0,88,62
,,,,,
M = Missing,,,,,
T = Trace,,,,,
,,,,,
,,,,,
Time of observation may vary by station,date,and/or variable,,,
,,,,,
Midwestern Regional Climate Center,,,,,
cli-MATE: MRCC Application Tools Environment,,,,,
Generated at: 11/9/2015 2:31:15 PM CST,,,,,
